CHK02^ADMIN~Servidor~de~administración	10.139.8.138	2001
CHK03^APACHEDFT~HTTP~server~basado~en~Apache~de~ejemplo~suministrado~por~IBM	10.139.8.138	80
CHK04^AZ7WSS~Servidor~de~servicios~Web~creado~por~el~asistente~Crear~servidor~de~servicios~Web.	10.139.8.138	40100
CHK05^AZMONITFR~AZMONITOR~FRONT	10.139.8.138	18001
CHK06^AZMONITOFL~AZ-MONITOR~FALABELLA~CHILE	10.139.8.138	30031
CHK07^AZMONITOMX~AZ-MONITOR	10.139.8.138	18001
CHK08^AZMONITOR~Servidor~para~Az-Monitor	10.139.8.138	18002
CHK09^AZMONITSW~AZMONITOR~SWITCH	10.139.8.138	18001
CHK10^AZWSQAMX~	10.139.8.138	10096
CHK11^IWADFT~	10.139.8.138	2020
CHK12^KFS~kafka~for~switch	10.139.8.138	80
CHK13^WQLIB85~	10.139.8.138	12331
CHK14^WS_AZ7COR2~Servidor~de~servicios~Web~creado~por~el~asistente~Crear~servidor~de~servicios~Web.	10.139.8.138	40013
CHK15^WS_AZ7PER~	10.139.8.138	40001
