FRTIPCLFDESA01CCR-01^CCR~-~IFR~recibidas~desde~CCA~directo	172.20.200.71	24051
FRTIPCLFDESA01MCD-05^MCD~-~MasterCard~Débito	98.200.14.228	9034
FRTIPCLFDESA01MCD-07^MCD~-~MasterCard~Débito	10.218.34.110	6003
FRTIPCLFDESA01MCI-08^MCI~-~MasterCard~Internacional	10.218.34.111	6003
FRTIPCLFDESA01MCI-08^MCI~-~BFCL~-~MasterCard~Internacional	98.200.14.228	6034
FRTIPCLFDESA01CCR-05^CCR-Pruebas~Mirror~Bank~assay	10.0.111.147	8081
FRTIPCLFDESA01RBR-01^RBR~-~IFR~recibidas~desde~REDBANC	163.250.239.100	6191
FRTIPCLFDESA01RDB-01^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2011
FRTIPCLFDESA01RDB-02^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2021
FRTIPCLFDESA01RDB-03^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2511
FRTIPCLFDESA01RDB-04^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2521
FRTIPCLFDESA01RDB-05^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	3495
FRTIPCLFDESA01RDB-06^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.100	3511
FRTIPCLFDESA01RDB-07^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.100	3521
FRTIPCLFDESA01TBC-01^TBC~-~BFCL~-~Transbank~Crédito	200.10.10.144	5621
FRTIPCLFDESA01TBC-02^TBC~-~BFCL~-~Transbank~Crédito	10.140.0.115	5608
FRTIPCLFDESA01TBC-03^TBC~-~BFCL~-~Transbank~Crédito	10.218.34.120	11001
FRTIPCLFDESA01TBC-05^TBC~-~BFCL~-~Transbank~Crédito	77.0.9.41	5604
FRTIPCLFDESA01TBK-02^TBK~-~BFCL~-~Transbank	200.10.10.144	5621
FRTIPCLFDESA01TBK-04^TBK~-~BFCL~-~Transbank	10.212.24.116	6003
FRTIPCLFDESA01VIS-02^VIS~-~Corp~-~Visa~Crédito	11.11.11.1	10153
FRTIPCLFDESA01VIS-02^VIS~-~Corp~-~Visa~Crédito	11.11.11.193	10152
FRTIPCLFDESA01VIS-03^VIS~-~Corp~-~Visa~Crédito	11.11.11.1	10150
